StyleCode,Variant1_Option_Code,Variant2_Option_Code,Variant3_Option_Code,Variant4_Option_Code,Variant5_Option_Code,USD_Price
AB00550,09,23,140M,,,205
AB00550,09,LG,140M,,,175
AB00550,14,MT,140M,,,235
AB00550,14,12,140M,,,330
AB00550,14,13,140M,,,320
AB00550,14,14,140M,,,315
AB00550,14,15,140M,,,310
AB00550,14,16,140M,,,305
AB00550,14,23,140M,,,305
AB00550,14,LG,140M,,,275
AB00550,18,MT,140M,,,335
AB00550,18,12,140M,,,430
AB00550,18,13,140M,,,425
AB00550,18,14,140M,,,415
AB00550,18,15,140M,,,415
AB00550,18,16,140M,,,410
AB00550,18,23,140M,,,410
AB00550,18,LG,140M,,,375
AB00550,PLAT,MT,140M,,,360
AB00550,PLAT,12,140M,,,455
AB00550,PLAT,13,140M,,,445
AB00550,PLAT,14,140M,,,440
AB00550,PLAT,15,140M,,,435
AB00550,PLAT,16,140M,,,430
AB00550,PLAT,23,140M,,,430
AB00550,PLAT,LG,140M,,,400
AB00550,09,MT,190M,,,160
AB00550,09,12,190M,,,340
AB00550,09,13,190M,,,325
AB00550,09,14,190M,,,310
AB00550,09,15,190M,,,305
AB00550,09,16,190M,,,295
AB00550,09,23,190M,,,285
AB00550,09,LG,190M,,,205
AB00550,14,MT,190M,,,280
AB00550,14,12,190M,,,465
AB00550,14,13,190M,,,445
AB00550,14,14,190M,,,435
AB00550,14,15,190M,,,430
AB00550,14,16,190M,,,420
AB00550,14,23,190M,,,410
AB00550,14,LG,190M,,,330
AB00550,18,MT,190M,,,405
AB00550,18,12,190M,,,585
AB00550,18,13,190M,,,570
AB00550,18,14,190M,,,560
AB00550,18,15,190M,,,555
AB00550,18,16,190M,,,545
AB00550,18,23,190M,,,535
AB00550,18,LG,190M,,,450
AB00550,PLAT,MT,190M,,,435
AB00550,PLAT,12,190M,,,615
AB00550,PLAT,13,190M,,,600
AB00550,PLAT,14,190M,,,590
AB00550,PLAT,15,190M,,,585
AB00550,PLAT,16,190M,,,575
AB00550,PLAT,23,190M,,,565
AB00550,PLAT,LG,190M,,,480
AB00550,09,MT,240M,,,190
