StyleCode,VariantCode,Shape,Setting,StoneCount,StoneSize,Metal,Quality,Price
WBRDFP,WBRDFP-270M07,Round,French Pave,7 Stone,2.7 mm,14,E-F / VS  (Lab Grown),725.00
WBRDFP,WBRDFP-270M07,Round,French Pave,7 Stone,2.7 mm,18,F-G / VS (Mined),1335.00
WBRDFP,WBRDFP-270M07,Round,French Pave,7 Stone,2.7 mm,18,G-H / SI (Mined),1230.00
WBRDFP,WBRDFP-270M07,Round,French Pave,7 Stone,2.7 mm,18,E-F / VS  (Lab Grown),1005.00
WBRDFP,WBRDFP-270M07,Round,French Pave,7 Stone,2.7 mm,PLAT,F-G / VS (Mined),1310.00
WBRDFP,WBRDFP-270M07,Round,French Pave,7 Stone,2.7 mm,PLAT,G-H / SI (Mined),1205.00
WBRDFP,WBRDFP-270M07,Round,French Pave,7 Stone,2.7 mm,PLAT,E-F / VS  (Lab Grown),980.00
WBRDFP,WBRDFP-140M50,Round,French Pave,50%,1.4 mm,10,F-G / VS (Mined),390.00
WBRDFP,WBRDFP-140M50,Round,French Pave,50%,1.4 mm,10,G-H / SI (Mined),355.00
WBRDFP,WBRDFP-140M50,Round,French Pave,50%,1.4 mm,10,E-F / VS  (Lab Grown),310.00
WBRDFP,WBRDFP-140M50,Round,French Pave,50%,1.4 mm,14,F-G / VS (Mined),540.00
WBRDFP,WBRDFP-140M50,Round,French Pave,50%,1.4 mm,14,G-H / SI (Mined),505.00
WBRDFP,WBRDFP-140M50,Round,French Pave,50%,1.4 mm,14,E-F / VS  (Lab Grown),460.00
WBRDFP,WBRDFP-140M50,Round,French Pave,50%,1.4 mm,18,F-G / VS (Mined),700.00
WBRDFP,WBRDFP-140M50,Round,French Pave,50%,1.4 mm,18,G-H / SI (Mined),665.00
WBRDFP,WBRDFP-140M50,Round,French Pave,50%,1.4 mm,18,E-F / VS  (Lab Grown),620.00
WBRDFP,WBRDFP-140M50,Round,French Pave,50%,1.4 mm,PLAT,F-G / VS (Mined),685.00
WBRDFP,WBRDFP-140M50,Round,French Pave,50%,1.4 mm,PLAT,G-H / SI (Mined),650.00
WBRDFP,WBRDFP-140M50,Round,French Pave,50%,1.4 mm,PLAT,E-F / VS  (Lab Grown),605.00
WBRDFP,WBRDFP-190M50,Round,French Pave,50%,1.9 mm,10,F-G / VS (Mined),590.00
WBRDFP,WBRDFP-190M50,Round,French Pave,50%,1.9 mm,10,G-H / SI (Mined),505.00
WBRDFP,WBRDFP-190M50,Round,French Pave,50%,1.9 mm,10,E-F / VS  (Lab Grown),380.00
WBRDFP,WBRDFP-190M50,Round,French Pave,50%,1.9 mm,14,F-G / VS (Mined),785.00
WBRDFP,WBRDFP-190M50,Round,French Pave,50%,1.9 mm,14,G-H / SI (Mined),705.00
WBRDFP,WBRDFP-190M50,Round,French Pave,50%,1.9 mm,14,E-F / VS  (Lab Grown),580.00
WBRDFP,WBRDFP-190M50,Round,French Pave,50%,1.9 mm,18,F-G / VS (Mined),995.00
WBRDFP,WBRDFP-190M50,Round,French Pave,50%,1.9 mm,18,G-H / SI (Mined),915.00
WBRDFP,WBRDFP-190M50,Round,French Pave,50%,1.9 mm,18,E-F / VS  (Lab Grown),790.00
WBRDFP,WBRDFP-190M50,Round,French Pave,50%,1.9 mm,PLAT,F-G / VS (Mined),975.00
WBRDFP,WBRDFP-190M50,Round,French Pave,50%,1.9 mm,PLAT,G-H / SI (Mined),895.00
WBRDFP,WBRDFP-190M50,Round,French Pave,50%,1.9 mm,PLAT,E-F / VS  (Lab Grown),770.00
WBRDFP,WBRDFP-240M50,Round,French Pave,50%,2.4 mm,10,F-G / VS (Mined),885.00
WBRDFP,WBRDFP-240M50,Round,French Pave,50%,2.4 mm,10,G-H / SI (Mined),755.00
WBRDFP,WBRDFP-240M50,Round,French Pave,50%,2.4 mm,10,E-F / VS  (Lab Grown),475.00
WBRDFP,WBRDFP-240M50,Round,French Pave,50%,2.4 mm,14,F-G / VS (Mined),1140.00
WBRDFP,WBRDFP-240M50,Round,French Pave,50%,2.4 mm,14,G-H / SI (Mined),1010.00
WBRDFP,WBRDFP-240M50,Round,French Pave,50%,2.4 mm,14,E-F / VS  (Lab Grown),725.00
WBRDFP,WBRDFP-240M50,Round,French Pave,50%,2.4 mm,18,F-G / VS (Mined),1410.00
WBRDFP,WBRDFP-240M50,Round,French Pave,50%,2.4 mm,18,G-H / SI (Mined),1275.00
